2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency=866(MHz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi,E Total. dB=-3.1415926536,-178,-176,-174,-172,-170,-168,-166,-164,-162,-160,-158,-156,-154,-152,-150,-148,-146,-144,-142,-140,-138,-136,-134,-132,-130,-128,-126,-124,-122,-120,-118,-116,-114,-112,-110,-108,-106,-104,-102,-100,-98,-96,-94,-92,-90,-88,-86,-84,-82,-80,-78,-76,-74,-72,-70,-68,-66,-64,-62,-60,-58,-56,-54,-52,-50,-48,-46,-44,-42,-40,-38,-36,-34,-32,-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180
48,-16.79835517,-15.74761549,-12.29675481,-9.475805906,-7.491313293,-6.138414586,-5.260198023,-4.755010681,-4.559084357,-4.616058792,-4.844542687,-5.103588728,-5.213063495,-5.061532853,-4.718337973,-4.385222194,-4.262962814,-4.487467833,-5.131895152,-6.225688624,-7.722882436,-9.410941772,-10.79469355,-11.43158283,-11.62446667,-12.1480201,-13.69600748,-17.07027506,-21.82529784,-17.21250962,-11.89661705,-8.517204903,-6.217895751,-4.50732721,-3.102176036,-1.850532059,-0.713263536,0.282613609,1.097914179,1.718071908,2.166781886,2.501551369,2.792675964,3.102035092,3.414877943,3.698227652,3.880081195,3.914460358,3.802026747,3.564996226,3.250946329,2.908395082,2.536332285,2.08972915,1.501733858,0.697156762,-0.372107161,-1.716275127,-3.286045955,-4.97967681,-6.71300783,-8.602054123,-11.16009287,-15.62338753,-25.57620049,-17.73458836,-11.54141749,-8.441021824,-6.854848529,-6.254149962,-6.339340521,-6.810110368,-7.270621853,-7.313924132,-6.828770211,-6.051392689,-5.296453314,-4.804148655,-4.734581073,-5.198202447,-6.255943194,-7.86102095,-9.697449304,-11.10845989,-11.76771361,-12.19988176,-12.76085046,-12.96232387,-12.28346193,-11.37368595,-11.16008696,-12.18788308,-14.65577107,-16.32265272,-13.1222361,-9.605691837,-7.398937115,-6.253027041,-5.886622426,-6.074686441,-6.62487357,-7.353674183,-8.037586131,-8.333814644,-7.963235749,-7.088258138,-6.189911398,-5.649377397,-5.654475556,-6.285768914,-7.566187642,-9.451897134,-11.67963145,-13.50032781,-14.21102103,-14.42490024,-15.24672051,-17.24576339,-18.43436666,-14.41603798,-9.85338489,-6.493365561,-4.0755121,-2.310896247,-0.982952741,0.075340722,0.969456113,1.76118764,2.424432023,2.93799582,3.277474842,3.431900225,3.436390393,3.350319389,3.254044409,3.194922037,3.182737085,3.169463838,3.092398463,2.876630911,2.508167699,1.990883882,1.37261477,0.712000071,0.029583483,-0.704682769,-1.576595206,-2.701338396,-4.209177685,-6.246894209,-9.017227902,-12.76697926,-17.09880637,-17.63015348,-14.66869725,-12.31289301,-10.74580968,-9.613427053,-8.629910358,-7.666199955,-6.74406597,-5.948196195,-5.362575217,-5.028627472,-4.957613725,-5.123728891,-5.472166025,-5.929550484,-6.401992797,-6.801134071,-7.057105058,-7.157317598,-7.146447264,-7.121718609,-7.201222757,-7.510750938,-8.181919812,-9.364722537,-11.24866673,-14.00837166,-16.79835517
50,-16.7980352,-15.88088889,-12.40954067,-9.552791393,-7.543367798,-6.171684556,-5.277122871,-4.761135361,-4.556006893,-4.605674147,-4.830370845,-5.088046279,-5.197961848,-5.048480916,-4.707567689,-4.376825673,-4.260668148,-4.4913244,-5.144284055,-6.245824424,-7.748335085,-9.435158701,-10.79951821,-11.40445836,-11.57774118,-12.09141032,-13.63823199,-17.00747897,-21.80679091,-17.23898319,-11.91482278,-8.537613191,-6.241887164,-4.532594918,-3.12506598,-1.868630379,-0.725017543,0.275955623,1.094385809,1.715141832,2.16359895,2.495674252,2.795741247,3.103804141,3.423325703,3.707261474,3.894562204,3.932627767,3.817054522,3.574429378,3.262322563,2.917653829,2.542939363,2.098992456,1.511225027,0.706976156,-0.365004229,-1.710763285,-3.279619464,-4.967634677,-6.684330488,-8.557865528,-11.10273219,-15.56657949,-25.59545172,-17.67220157,-11.47955785,-8.388481298,-6.817138911,-6.237781356,-6.346452348,-6.837227993,-7.308418549,-7.343551398,-6.837994085,-6.037055736,-5.266378989,-4.765941067,-4.695724432,-5.167875605,-6.242123817,-7.871333475,-9.718634879,-11.10113508,-11.71346143,-12.13917417,-12.74499001,-13.00560965,-12.32525795,-11.38250258,-11.15998046,-12.22907748,-14.82990451,-16.62807927,-13.16890949,-9.554864612,-7.332061541,-6.196014497,-5.849194102,-6.063062219,-6.639233963,-7.392176902,-8.092132015,-8.389517628,-7.994534492,-7.082490675,-6.157375177,-5.604817777,-5.6120679,-6.252792245,-7.55348519,-9.471134953,-11.72214908,-13.53094147,-14.19306361,-14.37744712,-15.20671379,-17.26528841,-18.57006667,-14.49259156,-9.874259869,-6.497730064,-4.077519969,-2.313318204,-0.986716413,0.070768698,0.968453173,1.755441898,2.42329952,2.94047488,3.276382116,3.428449106,3.429058137,3.345182482,3.242362128,3.190856846,3.186374744,3.178884531,3.104626525,2.889208275,2.517577335,2.003754922,1.383825456,0.728998177,0.051709509,-0.678206752,-1.548978286,-2.676456298,-4.189717871,-6.233669664,-9.005897026,-12.75725351,-17.09831665,-17.66531194,-14.71840597,-12.35287274,-10.77398686,-9.619081934,-8.618721574,-7.645265786,-6.721125175,-5.928066744,-5.3473298,-5.02064196,-4.957119683,-5.12735294,-5.4819801,-5.945004709,-6.422522719,-6.823687474,-7.077746579,-7.173723905,-7.154265762,-7.119003948,-7.186136456,-7.482971954,-8.142279,-9.307788553,-11.1755736,-13.92789965,-16.7980352
52,-16.79842557,-16.01684557,-12.52444676,-9.633302802,-7.595751188,-6.205142897,-5.29782283,-4.769326539,-4.554439714,-4.597365226,-4.817194524,-5.074499243,-5.184584184,-5.035398985,-4.69673962,-4.369831247,-4.258915648,-4.495823589,-5.155989992,-6.26541633,-7.775222859,-9.457517199,-10.80357839,-11.37684385,-11.52777724,-12.03566896,-13.57735772,-16.95244648,-21.7882126,-17.25951588,-11.93161044,-8.554713495,-6.262984999,-4.556182008,-3.147508435,-1.885190374,-0.734902243,0.271178418,1.091636789,1.713247336,2.160793068,2.496954126,2.793212147,3.106207932,3.432270101,3.722618874,3.909262301,3.945564545,3.831656278,3.589579199,3.27470689,2.927531856,2.556967927,2.11592978,1.520768031,0.716237183,-0.357668077,-1.705644132,-3.273867012,-4.952981807,-6.659153493,-8.516078863,-11.04886124,-15.51462645,-25.60508275,-17.60894985,-11.42172127,-8.339042165,-6.783991144,-6.223128955,-6.351702069,-6.865337086,-7.344483148,-7.372712086,-6.843989668,-6.022685064,-5.239540935,-4.730905896,-4.659091933,-5.138171362,-6.230162414,-7.881424308,-9.739657721,-11.09169577,-11.6591923,-12.08004711,-12.73343001,-13.0485198,-12.3678794,-11.39306859,-11.1609267,-12.26455247,-15.01375989,-16.9433393,-13.21658219,-9.504865885,-7.270064121,-6.142385552,-5.814184942,-6.05146689,-6.651565142,-7.428374317,-8.14428845,-8.443274245,-8.022507781,-7.074990595,-6.126176112,-5.561778767,-5.568854518,-6.219796407,-7.542711442,-9.484379322,-11.75697036,-13.55346084,-14.17686059,-14.33779662,-15.17254859,-17.28355265,-18.7029962,-14.5636417,-9.895913689,-6.503027825,-4.078048521,-2.314900307,-0.98921236,0.067431182,0.967851248,1.757687116,2.429106248,2.9431008,3.274995575,3.425455426,3.42256734,3.33535935,3.237817314,3.187451086,3.190501094,3.188384077,3.111281804,2.900180656,2.5278261,2.012553895,1.403199713,0.746387708,0.074166744,-0.652658017,-1.523378062,-2.653160291,-4.170860635,-6.221272454,-8.998081709,-12.75165974,-17.09140513,-17.70089967,-14.76400871,-12.39309439,-10.79901257,-9.627401658,-8.608352505,-7.62554487,-6.696618818,-5.907369338,-5.331285988,-5.01197755,-4.954889149,-5.130683831,-5.491616892,-5.958504478,-6.441080959,-6.844202509,-7.098327545,-7.18786203,-7.15975134,-7.114005857,-7.170950435,-7.455264394,-8.098457041,-9.251693518,-11.1039948,-13.84862748,-16.79842557
54,-16.79844662,-16.15447407,-12.64127066,-9.71179816,-7.648384792,-6.240659465,-5.318581957,-4.778033004,-4.553413075,-4.590560706,-4.805587616,-5.060939231,-5.172885418,-5.023932525,-4.686214587,-4.363247756,-4.257100336,-4.500264527,-5.168340717,-6.285549432,-7.799171234,-9.479655729,-10.80416982,-11.34882416,-11.4816366,-11.98084187,-13.52207693,-16.89263842,-21.76854731,-17.28038923,-11.94353031,-8.571816478,-6.283299749,-4.579605298,-3.168183329,-1.901385931,-0.745294041,0.266566166,1.089349923,1.711299685,2.158345593,2.493064861,2.791393242,3.109327254,3.441688056,3.732249089,3.924167775,3.963540995,3.846223083,3.600176344,3.282039107,2.938199081,2.564556478,2.12585146,1.53061717,0.725225559,-0.35139995,-1.70093377,-3.268804019,-4.941700199,-6.634418388,-8.476702881,-10.99841595,-15.46191217,-25.60396663,-17.54497443,-11.36450061,-8.294958082,-6.751515938,-6.209127086,-6.359447509,-6.891593196,-7.380219471,-7.398846537,-6.852199151,-6.012350661,-5.213373693,-4.696602274,-4.624097885,-5.11015344,-6.21682579,-7.889070865,-9.75775562,-11.08049311,-11.6102894,-12.02777398,-12.72266131,-13.09658281,-12.41007597,-11.40056137,-11.15863491,-12.30202818,-15.19524878,-17.28116315,-13.26940952,-9.461878358,-7.209172923,-6.092127443,-5.781537715,-6.042165833,-6.665889395,-7.462351381,-8.19640984,-8.492793075,-8.047924004,-7.068757552,-6.09410505,-5.520272869,-5.527264372,-6.188499349,-7.528914394,-9.496936431,-11.79134713,-13.57639122,-14.159561,-14.29738774,-15.13879781,-17.30048226,-18.8302175,-14.62900204,-9.914438562,-6.505066014,-4.07829204,-2.315644821,-0.992081682,0.064581258,0.967636347,1.760101472,2.428438313,2.945542767,3.278793787,3.423793354,3.422112353,3.332115178,3.234155866,3.191167,3.195098522,3.198375345,3.123403862,2.911105773,2.537914054,2.02210286,1.415494117,0.763455651,0.096003995,-0.627055914,-1.498276208,-2.631443273,-4.153344184,-6.208858948,-8.99158004,-12.74629355,-17.09745076,-17.73778748,-14.81044747,-12.43355759,-10.8272813,-9.635838388,-8.601059705,-7.605653011,-6.673550227,-5.885628007,-5.315921429,-5.003228957,-4.95051158,-5.133686357,-5.499283625,-5.971925879,-6.457647792,-6.862641811,-7.116713645,-7.201821179,-7.165020408,-7.108828739,-7.153582926,-7.425581367,-8.057278819,-9.194008094,-11.03259692,-13.77397627,-16.79844662
56,-16.79799729,-16.29500931,-12.76018938,-9.791004779,-7.703483601,-6.276307918,-5.339378075,-4.788278499,-4.554431351,-4.584845902,-4.796022057,-5.049032086,-5.159522186,-5.012445211,-4.677179463,-4.358570891,-4.255830802,-4.505369899,-5.181496868,-6.305163202,-7.824575606,-9.499478316,-10.80383833,-11.32040077,-11.43248123,-11.92692323,-13.46780625,-16.84041999,-21.74944545,-17.2952945,-11.95557656,-8.586641675,-6.302836554,-4.60053617,-3.188430063,-1.916079785,-0.753442403,0.261758026,1.087387524,1.709879438,2.157336476,2.48994555,2.796878166,3.113038296,3.451540412,3.747968083,3.939017283,3.976313477,3.859498825,3.611874703,3.295790065,2.949622434,2.579665957,2.136060151,1.548162813,0.733644725,-0.344456356,-1.696003365,-3.263490626,-4.930120543,-6.610588165,-8.439713247,-10.95462478,-15.41409864,-25.59456103,-17.48747126,-11.31155344,-8.251683406,-6.723572163,-6.196815961,-6.36707377,-6.918903844,-7.414147379,-7.425061594,-6.858117915,-6.000371037,-5.188209385,-4.664838432,-4.591289128,-5.08274321,-6.204875981,-7.896486825,-9.77595571,-11.06788118,-11.55710039,-11.97212571,-12.71601007,-13.13978095,-12.45314808,-11.41204328,-11.16010602,-12.34169075,-15.38559292,-17.63694484,-13.32367818,-9.420966658,-7.154081055,-6.045204159,-5.751875968,-6.033392448,-6.678171144,-7.496147495,-8.243749093,-8.541553061,-8.073277318,-7.062345164,-6.063459134,-5.480298434,-5.487290095,-6.15718403,-7.514984463,-9.50615915,-11.81805568,-13.59578422,-14.1412246,-14.2606251,-15.11082106,-17.32292646,-18.95205296,-14.68848559,-9.925694183,-6.50806037,-4.077344541,-2.316146331,-0.993348813,0.062203627,0.967785369,1.762652451,2.434161722,2.948095716,3.277513299,3.421660103,3.417305771,3.324095629,3.231204679,3.189019626,3.199931167,3.208176862,3.135925168,2.921971759,2.548278218,2.032385254,1.428704033,0.782002616,0.118126738,-0.602403543,-1.473055968,-2.609655991,-4.13715038,-6.198130954,-8.986158237,-12.7449606,-17.09696168,-17.77682447,-14.8576331,-12.47444017,-10.85253983,-9.646976803,-8.593494661,-7.587341558,-6.650419815,-5.865403279,-5.299775956,-4.99384076,-4.947211942,-5.136405924,-5.508504808,-5.985232449,-6.476152115,-6.881029817,-7.132883835,-7.211336221,-7.167932683,-7.101290917,-7.133977669,-7.395872499,-8.014208188,-9.139445368,-10.96394088,-13.70074251,-16.79799729
58,-16.79777331,-16.43711999,-12.88114327,-9.870869612,-7.758822455,-6.313985954,-5.362282414,-4.800577633,-4.557461491,-4.580630432,-4.788486834,-5.039402496,-5.147837025,-5.002558188,-4.668087008,-4.352377772,-4.254491523,-4.510446331,-5.193764248,-6.324803544,-7.848452659,-9.517457938,-10.79958824,-11.28827218,-11.38373967,-11.87383208,-13.41477966,-16.78935868,-21.72980428,-17.31035954,-11.96437978,-8.598123886,-6.318713456,-4.619774338,-3.205570745,-1.92930357,-0.761594864,0.257904361,1.08613989,1.709548478,2.156101686,2.494006747,2.796662244,3.117408889,3.461801196,3.758088823,3.953787482,3.994026802,3.875629347,3.62429401,3.304428517,2.961595222,2.588283239,2.146534187,1.558139389,0.742851426,-0.338173883,-1.691500257,-3.257927517,-4.920103235,-6.588383667,-8.405029054,-10.91081215,-15.3708613,-25.57628828,-17.42987322,-11.26266676,-8.211490283,-6.696286097,-6.187672217,-6.376293916,-6.94319244,-7.447816994,-7.449628531,-6.863726436,-5.98826172,-5.165608363,-4.634349575,-4.559153797,-5.057532643,-6.192931456,-7.90372539,-9.78858782,-11.05254705,-11.50249466,-11.92125817,-12.70751605,-13.18783344,-12.49375518,-11.42027158,-11.15899781,-12.37468632,-15.57267333,-18.01546314,-13.37536607,-9.384568192,-7.105704053,-6.001664989,-5.724562155,-6.024638227,-6.690478837,-7.527636692,-8.288524713,-8.585978486,-8.096668006,-7.054315735,-6.035737867,-5.440928609,-5.447367854,-6.126787597,-7.500913607,-9.511994756,-11.84441399,-13.61176364,-14.12210543,-14.22759862,-15.08859376,-17.34427818,-19.06938476,-14.74231141,-9.937894652,-6.506467185,-4.075234159,-2.315832575,-0.995355898,0.061346587,0.96827995,1.765453575,2.440032982,2.950096743,3.281339821,3.419467032,3.413662187,3.322671831,3.229088829,3.193942429,3.205180234,3.218206907,3.142248847,2.932767008,2.558897081,2.043384674,1.435034646,0.799200437,0.138660896,-0.578715083,-1.449103435,-2.588763094,-4.121561417,-6.189941941,-8.984203707,-12.74398572,-17.10939935,-17.81713547,-14.9058845,-12.51181546,-10.88115037,-9.65817428,-8.587846879,-7.570284445,-6.630051304,-5.846125147,-5.285859962,-4.984368805,-4.943796575,-5.138821321,-5.515772744,-5.998433239,-6.492648807,-6.899385735,-7.148962086,-7.22065326,-7.168494329,-7.091477769,-7.114261542,-7.364130191,-7.973706907,-9.08553885,-10.89534439,-13.62877584,-16.79777331
60,-16.7979235,-16.58154022,-13.00046673,-9.951324566,-7.81209113,-6.351772978,-5.387312102,-4.813382083,-4.561040034,-4.577487587,-4.781425913,-5.029752126,-5.137799648,-4.990968042,-4.659283158,-4.346137353,-4.255118617,-4.517564082,-5.205417544,-6.343353462,-7.872143743,-9.536867323,-10.79447089,-11.25581734,-11.33883118,-11.82165871,-13.36294003,-16.73981557,-21.70936829,-17.31907878,-11.97248168,-8.609583282,-6.334490218,-4.638463781,-3.223657841,-1.941085615,-0.768555915,0.256172125,1.086015759,1.709608623,2.156197798,2.492421508,2.797321651,3.12241129,3.46617265,3.774057832,3.968449998,4.006560705,3.88793359,3.637414199,3.319746136,2.974271529,2.604280922,2.157240204,1.568071753,0.751200069,-0.332106794,-1.686786606,-3.253080512,-4.910717873,-6.567807374,-8.375102358,-10.87028603,-15.33212701,-25.54895427,-17.37216247,-11.21461414,-8.176650975,-6.673502587,-6.178464476,-6.384586616,-6.968537087,-7.479728645,-7.471329225,-6.869903403,-5.978742625,-5.143683777,-4.606360825,-4.530083848,-5.033961174,-6.179610223,-7.908473497,-9.79867228,-11.03797217,-11.45420371,-11.87261582,-12.69977741,-13.23314414,-12.53575683,-11.42852455,-11.16011524,-12.40744427,-15.76128716,-18.41473249,-13.43156147,-9.352704877,-7.058359976,-5.960660607,-5.699629146,-6.018183061,-6.702715824,-7.55676434,-8.3307656,-8.628333217,-8.117588063,-7.047649988,-6.00688929,-5.402220986,-5.409796904,-6.096392438,-7.483875104,-9.517198712,-11.86316798,-13.62051945,-14.10562944,-14.19839029,-15.06686467,-17.37148933,-19.18025386,-14.78539275,-9.946988067,-6.505898678,-4.074058656,-2.315292163,-0.99578249,0.060777729,0.969097126,1.768341744,2.43942469,2.957957952,3.279323683,3.417616591,3.405527438,3.316386557,3.22777933,3.192948345,3.210710008,3.228215473,3.1542226,2.943543615,2.569310662,2.054726316,1.449463367,0.816979306,0.160354342,-0.556177221,-1.426752895,-2.569654937,-4.107934883,-6.181724097,-8.981162784,-12.74699014,-17.11520105,-17.85843459,-14.95504123,-12.55348881,-10.90995777,-9.669827115,-8.583133704,-7.553072492,-6.609610064,-5.825846912,-5.268892484,-4.973247185,-4.939881285,-5.139246157,-5.522834432,-6.009653886,-6.50710444,-6.915609915,-7.16279062,-7.229761848,-7.168791393,-7.081411917,-7.09436451,-7.332394957,-7.931168906,-9.032339383,-10.83191283,-13.56072418,-16.7979235
62,-16.79844717,-16.727679,-13.12160002,-10.03529519,-7.867768919,-6.389671321,-5.412368772,-4.827729278,-4.566089375,-4.577313291,-4.774821666,-5.020076296,-5.127762017,-4.982654387,-4.652365898,-4.34230735,-4.254915899,-4.523263879,-5.217928976,-6.36298271,-7.894255902,-9.550615214,-10.78847928,-11.22318038,-11.29105375,-11.77050598,-13.31640026,-16.69142645,-21.68913971,-17.32806466,-11.9770848,-8.618741732,-6.34882624,-4.655068615,-3.238642208,-1.952628729,-0.774346515,0.252966941,1.085692588,1.709634059,2.156103769,2.4922628,2.798823038,3.128015009,3.477133213,3.784419536,3.982980821,4.023607916,3.900557433,3.65122034,3.330156265,2.981194882,2.613815703,2.168154312,1.578103266,0.759212508,-0.32626765,-1.682517992,-3.248971353,-4.900170023,-6.55074069,-8.345032785,-10.83621365,-15.29805167,-25.51533376,-17.32142627,-11.17074937,-8.142609199,-6.651374743,-6.170938319,-6.393715099,-6.993295503,-7.509873146,-7.494530824,-6.875794577,-5.970854136,-5.124929866,-4.580531864,-4.503141654,-5.010451265,-6.16998889,-7.910702079,-9.809069652,-11.01995744,-11.4074823,-11.82866866,-12.69536999,-13.27859789,-12.57506613,-11.4393831,-11.1609187,-12.44149126,-15.95016229,-18.83655778,-13.48889611,-9.321787275,-7.015809227,-5.925436757,-5.675978365,-6.012265899,-6.714978868,-7.58570802,-8.370451856,-8.667528552,-8.1351457,-7.037996084,-5.978410811,-5.366560258,-5.373838238,-6.067714775,-7.468078015,-9.516308884,-11.88168876,-13.63049622,-14.08884429,-14.17255868,-15.05589373,-17.39781487,-19.28472789,-14.82745353,-9.953031772,-6.504952105,-4.070547367,-2.313957737,-0.99562944,0.060637668,0.970214096,1.771437733,2.445063179,2.960063064,3.282725652,3.416579505,3.403781824,3.316953581,3.227247008,3.198963771,3.222832144,3.238175184,3.166216407,2.954714001,2.579945166,2.067114859,1.464475576,0.835300078,0.180419745,-0.5334631,-1.405344309,-2.551443123,-4.095619068,-6.175176317,-8.981565216,-12.7504112,-17.13414553,-17.90193446,-15.00524206,-12.59559597,-10.93903062,-9.681010627,-8.578104027,-7.537362489,-6.589097937,-5.806499173,-5.254170143,-4.962570853,-4.933865898,-5.141072827,-5.527920792,-6.020749307,-6.521500363,-6.92970138,-7.174350619,-7.236535628,-7.166734204,-7.069006341,-7.072281799,-7.300714416,-7.888940404,-8.979646029,-10.76810525,-13.49425459,-16.79844717
64,-16.79795738,-16.87503863,-13.24463346,-10.11694443,-7.925846789,-6.427612128,-5.437419181,-4.842565065,-4.573692548,-4.57618959,-4.769747314,-5.012328538,-5.119371712,-4.972660318,-4.643830797,-4.33842619,-4.254686619,-4.52966753,-5.231874613,-6.381536993,-7.914796641,-9.564184824,-10.78148815,-11.19034655,-11.24376405,-11.72360803,-13.26695135,-16.6501779,-21.66823428,-17.33036627,-11.97795218,-8.624491674,-6.361938996,-4.669966883,-3.25325045,-1.963955924,-0.780242034,0.251470476,1.085750574,1.71060492,2.156742573,2.492471885,2.800932344,3.134183719,3.488427512,3.800526245,3.997360363,4.040276976,3.913506739,3.665701139,3.341405482,2.995023721,2.623736357,2.179244727,1.588214201,0.76743903,-0.320671327,-1.678707059,-3.244651267,-4.892144246,-6.533428757,-8.319653006,-10.80210571,-15.26337316,-25.47500902,-17.26433961,-11.13098656,-8.111668489,-6.633722786,-6.165841483,-6.40447315,-7.016719296,-7.538288496,-7.514949364,-6.881466456,-5.961449134,-5.107169103,-4.557728898,-4.47830392,-4.989108329,-6.158062433,-7.915102954,-9.814205228,-11.002848,-11.36025314,-11.78440364,-12.69435087,-13.32426779,-12.61489764,-11.44699566,-11.16023649,-12.47254726,-16.13757551,-19.28328437,-13.54691754,-9.296714728,-6.978955464,-5.891094986,-5.656357361,-6.008142669,-6.727168324,-7.612312514,-8.407479841,-8.704576911,-8.154114069,-7.028332509,-5.951876859,-5.330957352,-5.339484029,-6.038276606,-7.450114477,-9.517574644,-11.89271425,-13.63382555,-14.07523254,-14.15070825,-15.04542796,-17.42352034,-19.38307824,-14.85875964,-9.955410631,-6.500916146,-4.067145562,-2.311847415,-0.994921417,0.06104376,0.971603696,1.774415206,2.450534005,2.961541084,3.285274087,3.416346931,3.403142425,3.312569024,3.227463602,3.198999356,3.228690232,3.248300839,3.177527083,2.965318162,2.589804611,2.073333185,1.480053003,0.845490346,0.200670432,-0.511145226,-1.384503792,-2.534815125,-4.083909086,-6.171141221,-8.980855665,-12.7578244,-17.15296176,-17.94636628,-15.05150263,-12.63826916,-10.96844647,-9.692859249,-8.574095082,-7.522950237,-6.568540762,-5.787710298,-5.238695621,-4.952344952,-4.929365716,-5.140924881,-5.534552773,-6.031727446,-6.533838177,-6.94370718,-7.18577205,-7.240938601,-7.162250111,-7.056362327,-7.047959692,-7.268969501,-7.844785595,-8.927498184,-10.70554791,-13.4284273,-16.79795738
66,-16.79809888,-17.02445268,-13.36967452,-10.19612894,-7.981744315,-6.467511846,-5.464176122,-4.859436338,-4.581279534,-4.578538289,-4.767126819,-5.00639163,-5.110934169,-4.964292526,-4.63677979,-4.334491972,-4.256416969,-4.536038515,-5.244357832,-6.399612138,-7.935154932,-9.57755247,-10.77079384,-11.15396988,-11.19711443,-11.67426745,-13.2226735,-16.61009218,-21.64702937,-17.33287946,-11.98199988,-8.630200065,-6.371790052,-4.683978378,-3.266139416,-1.97276477,-0.785293009,0.250822034,1.08668612,1.711490858,2.15818437,2.49406054,2.804045395,3.140897638,3.499944452,3.810686329,4.011305641,4.051798589,3.926771251,3.676118542,3.353211388,3.0096309,2.634074193,2.190480092,1.598225276,0.77529385,-0.315329801,-1.67536611,-3.240123364,-4.884399726,-6.519000557,-8.296515249,-10.7743211,-15.23310427,-25.4279545,-17.21442645,-11.09547583,-8.086198662,-6.616063447,-6.162213972,-6.415124551,-7.03956987,-7.566588599,-7.533888967,-6.886964479,-5.955426591,-5.091015905,-4.534999753,-4.455000561,-4.969910288,-6.146598499,-7.914663919,-9.81982475,-10.98448114,-11.31747212,-11.74523854,-12.69087949,-13.36574386,-12.65478726,-11.45681277,-11.16189417,-12.50322168,-16.32156549,-19.75517383,-13.60571464,-9.276126841,-6.94411942,-5.862476684,-5.637402462,-6.004000047,-6.73934035,-7.636498528,-8.441884558,-8.736098492,-8.167797298,-7.021691916,-5.926873549,-5.298400504,-5.304426385,-6.010565251,-7.43133919,-9.512734015,-11.90362312,-13.63876699,-14.05822629,-14.13248575,-15.03556261,-17.45532322,-19.47388626,-14.88427782,-9.955497303,-6.495192339,-4.063495775,-2.308972784,-0.993667245,0.061834373,0.973239008,1.777553973,2.455811488,2.968418079,3.287755475,3.417328993,3.403252135,3.309088258,3.228400654,3.205972445,3.234861892,3.257842152,3.188820664,2.976277283,2.600276587,2.087034129,1.48889886,0.864705544,0.22016261,-0.490626305,-1.36461057,-2.518123043,-4.073497148,-6.167068054,-8.983596708,-12.76928153,-17.17172454,-17.99235857,-15.09878404,-12.67755377,-10.99816264,-9.708154607,-8.571974433,-7.508358842,-6.549416648,-5.768295413,-5.223183899,-4.941027869,-4.924391252,-5.140473879,-5.539241081,-6.040709537,-6.546088004,-6.955526882,-7.194890129,-7.242943039,-7.157525644,-7.041380944,-7.023480113,-7.235169168,-7.802948932,-8.875831096,-10.64406574,-13.36690458,-16.79809888
